author_name,n_pub
Florent Benaych-Georges,0
Frederique Crete,0
Maryam Karimzadehgan,15
Fabio Massimo Zanzotto,48
Stefano Serra-Capizzano,34
Marco Cerami,0
Anurat Chapanond,0
Ajo Fod,0
Gilles Degottex,1
Erik Bylow,0
Pierre Bonami,27
Daniel Stutzbach,12
Per Martin-Löf,0
Slim Essid,8
Vincent Perlbarg,0
Hedi Tabia,18
Koji Nonobe,0
Sonja Zehetmayer,0
Alexandrina Orzan,5
Christian Goerick,34
Yury Ustinovskiy,8
Felipe Bravo-Marquez,17
Vasileios Lampos,15
Eiichiro Sumita,112
Yasser Ganjisaffar,6
Patrick Eyerich,16
Marin Ferecatu,14
Benjamin Markines,13
Pavol Hell,113
Mark Hübener,0
Wayne A. Wickelgren,0
Simon Kasif,45
Gergely Csibra,0
Mike Stilman,0
Nuria Pelechano,24
Sorathan Chaturapruek,6
Juan A. Recio-García,36
Michael W. Hofbaur,0
Armin Kanitsar,17
Regis Bonnefon,0
Johannes Hoffart,22
Richard J. Preen,12
Anton Andriyenko,4
Samuel Rota Bulò,27
Shady Elbassuoni,27
Antonio Criminisi,76
Dan Alistarh,77
Savas Konur,16
Paulo Shakarian,51
Leonardo Lesmo,47
Moni Naor,189
Nikolai Malykhin,0
Ilkka Norros,23
Line Eikvil,0
Ali Kemal Sinop,16
Manohar Shamaiah,0
H. Sheikh Faridul,0
Christoph Zetzsche,19
Nader H. Bshouty,124
Georgia Gkioxari,0
Elie Bursztein,45
Igor Labutov,10
Ugur Kuter,46
Uwe Hamhaber,0
Norbert Fuhr,130
Jan Stühmer,0
Walter Kintsch,5
Richard H. R. Hahnloser,12
Boris Babenko,0
Trey Hedden,0
Andrea Hasenstaub,0
Masoud Valafar,6
Peyman Afshani,34
Eugene Charniak,108
Scott Buffett,22
Robert E. Mahony,41
Jonathan Schler,17
Anders Kofod-Petersen,16
Hagit Shatkay,36
Gerhard Lakemeyer,138
Wagner A. Kamakura,0
Tonja R. Nansel,0
Ken Sadohara,0
Lokenath Debnath,0
Krzysztof C. Kiwiel,0
Kostas Kolomvatsos,38
Farid Melgani,18
Johannes Oetsch,20
Ants Torim,4
Joseph L. DeRisi,0
Alborz Geramifard,15
Daniel D. Corkill,49
Stian Normann Anfinsen,0
Ron O. Dror,21
Alexander Kläser,0
Ulrich Güntzer,45
Francis wyffels,13
Ali Bashashati,0
Tamim Asfour,56
Dorsa Sadigh,19
Giulio Sandini,79
Ofer Malcai,0
Jochen Kleres,0
Raouf Benjemaa,0
Margaret M. Wiecek,0
Idan Gabdank,0
Craig F. Ansley,0
Matthieu Basseur,17
Axel Målqvist,0
Stefan Chanas,0
Julian Besag,0
Nils Einecke,6
Gil Alterovitz,0
Roberto D. Pascual-Marqui,0
Bruno H. Repp,0
Volodymyr Mnih,14
Andrea Capotorti,0
John P. Fishburn,18
Luca Cernuzzi,18
Dariusz Plewczynski,18
Enislay Ramentol,0
Christian Beder,0
Zachary T. Harmany,0
Jivko Sinapov,26
Eleftherios Kofidis,0
Thomas Proisl,0
Kevin Schelten,0
Richard D. Pezner,0
Mathias Eitz,12
Benno Schwikowski,12
Marc Arnaudon,0
Adelchi Azzalini,0
Giannis Varelas,2
Sven Seuken,42
Henk J. A. M. Heijmans,0
Patrick E. Shrout,0
Gottfried Tinhofer,0
Carol Myers-Scotton,0
Douglas S. Brungart,4
Matthew F. S. Rushworth,0
Diego A. Socolinsky,0
Xavier Amatriain,17
Oliver Mülken,0
Ludovic Lebart,0
Przemyslaw Prusinkiewicz,57
Wolfgang Macherey,9
Bogdan Babych,11
Ilan Sutskover,0
Olivier Lartillot,8
Rob Drullman,0
Dimitris Kontokostas,16
Antonin Chambolle,0
Thierry Bertin-Mahieux,3
Juan Bekios-Calfa,5
Sylvia Frühwirth-Schnatter,16
Jeffrey Hoffstein,0
Su Mon Kywe,0
Phil Husbands,66
Ellen M. Markman,0
Víctor Gutiérrez-Basulto,18
Nathan Halko,0
Jussi Karlgren,49
Dimitris Berberidis,8
Xavier Naturel,6
Pascal Koiran,83
Malte Darnstädt,0
Philippe Duchon,14
Cinzia Carota,0
Liat Ein-Dor,5
Michael L. Littman,177
Ben Goertzel,76
Mark M. Tobenkin,6
Fred Morstatter,34
Vincent Duquenne,0
Benjamin Inden,7
Paul Kleihues,0
Gabrielle Girardeau,0
Florian Yger,0
Yllias Chali,28
Carlo Strapparava,77
Michael Guntsch,0
Ruggero G. Pensa,35
Aleš Tamchyna,5
Kumar Sricharan,8
Andreas Hellander,14
Moritz Göbelbecker,7
Steven C. H. Hoi,173
Hans-Georg Gadamer,0
Ehsan Shareghi,1
Pablo Rodriguez-Mier,0
Joel B. Predd,0
Andris Ambainis,108
Nicolas Ballas,11
Dan Gusfield,93
Cyrus M. S. Nambakhsh,0
Arnaud Charnoz,0
Kathleen M. Giacomini,0
David T. Gering,0
Arnold Meijster,0
Daniel Mailharro,0
Bruno Dutertre,27
Andrea Giovannucci,20
Petter Strandmark,0
Saso Dzeroski,156
Andrew Berchuck,0
Marco Zaffalon,72
Anika Oellrich,0
Umut Topkara,11
Nicolaos B. Karayiannis,0
Robert Plutchik,0
Gareth A. Tribello,0
Lukas Cavigelli,6
Omer Reingold,94
Victoria Groom,6
Ilaria Gori,8
Olga Vechtomova,25
Kai Lawonn,29
Etienne Coutureau,0
Jose M. Chaquet,0
Claire Caillerie,0
Marius Bulacu,0
Sorin Draghici,1
Ilya Lipkovich,0
Munir Cochinwala,18
Svetlana Kiritchenko,16
Ildiko Suveg,0
Trond Grenager,8
Nur Arad,0
Allan Heydon,10
Wouter de Nooy,0
Mihael Ankerst,11
Kevin W. Boyack,19
Michael Hagenau,0
Anja Brakensiek,0
Mario Vanhoucke,0
Kyle Steenland,0
Giuseppe Vitiello,0
Tamara Polajnar,14
Joel Nothman,7
Sauleh Eetemadi,0
Julie Tibshirani,2
Moshé M. Zloof,19
Samory Kpotufe,15
Filip Jurčíček,10
Jens Kohlmorgen,0
Rikard Berthilsson,0
Georg Kail,0
Kirsten Bouchelouche,0
A. Taracchini,0
Roberto Toldo,0
Lars Ruthotto,0
Jan Elseberg,0
Silke Steingrube,0
Ienkaran Arasaratnam,0
Ch. A. Charalambides,10
Matthias Butenuth,0
Meir Kalech,54
Olivier Corby,38
Walid Krichene,13
Ivan Markovsky,26
Veronica Biazzo,0
Pierre Gançarski,36
Lloyd N. Trefethen,86
Tomer Amiaz,0
Magnus Axholt,8
Brahim Chaib-draa,99
Shai Revzen,0
Leonid Peshkin,14
Jean Jacod,0
Giuseppe De Nicolao,16
Brandon Reagen,13
Benny Kimelfeld,92
Joseph Shtok,0
Alberto Dainotti,51
Rosemary Emery-Montemerlo,2
Branislav Bošanský,31
Hans Op de Beeck,0
Wilko Henecka,8
Olivier Querbes,0
Rastislav Bodik,82
Nicoletta Calzolari,53
David Austen-Smith,0
Peter Schachte,31
Lars Floreby,0
Alan Jern,5
Lénaïc Chizat,0
Stergios I. Roumeliotis,47
Marián Boguñá,4
Cathy Maugis,0
Filareti Tsalakanidou,0
Thorsten Bernholt,12
Christopher S. G. Khoo,13
Jason D. Hartline,69
Gianluigi Pillonetto,33
Vytautas Perlibakas,0
Artan Dermaku,0
Valiantsin Hardzeyeu,0
Sadao Kurohashi,80
Steven Lobregt,0
Peter Imming,0
Ehud Friedgut,19
Eyal Even-Dar,33
Nikolaos Gkalelis,14
Ken Perlin,78
Soumia Ichoua,0
Bart Bogaerts,17
George K. Atia,0
Omar Odibat,4
Daniel Sharvit,3
Simon De Deyne,0
Christoph Strecha,0
Niels G. Waller,0
Inderpal Singh Mumick,45
Luca Chittaro,116
Olli Viikki,0
Bakhtiar Feizizadeh,0
John K. Kruschke,0
Pedro Zaballos,0
Rodney G. Downey,59
Raymond E. Slyh,0
Søren Hauberg,0
Ekhlas Sonu,7
Herbert W. Hethcote,0
Katerina Fragkiadaki,0
Jean-Philippe Vandeborre,22
Taufik Abrão,0
Arnulf Jentzen,0
Mehran Sahami,71
Florence d'Alché-Buc,23
Behnam Neyshabur,0
Marcos Faundez-Zanuy,0
Laurent Mascarilla,0
Nicolas Gourier,3
David Pullar,0
Rebecca J. Passonneau,55
Rolf Rabenseifner,32
Jan J. Koenderink,74
Giuseppe Carenini,77
Michael Wibral,0
Eric A. Pohlmeyer,0
Miguel Lázaro-Gredilla,18
Nazlı İkizler,0
Aleksandr Chuklin,16
Vikram V. Appia,0
Mazen Malek Shiaa,0
Coren L. Apicella,0
Scott Steinschneider,0
Kiyosumi Kidono,0
Marina Drosou,13
Alan Lukezic,0
Dariush Divsalar,0
Bharath Dandala,1
Bill P. Buckles,49
Aaron Carass,0
Roni Parshani,0
Kambiz Ghazinour,16
George H. Polychronopoulos,0
Yassine Mrabet,6
Frank Pfenning,132
Robert Gütig,0
Hervé Jégou,4
James P. Delgrande,116
David A. Jaffray,0
Bart Thomee,31
Satchuthanan R. Branavan,0
Enrique Meléndez-Hevia,0
Stef van Buuren,0
Vladimir Vacic,0
Olaf Mersmann,15
Michael Hohenbichler,0
Päivi Majaranta,30
Tony Veale,62
Arridhana Ciptadi,4
Lin Padgham,128
Michael D. Muhlbaier,0
Roy H. Perlis,2
Quan Huynh-Thu,0
Venkat N. Gudivada,24
José Zariffa,0
Skipper Seabold,0
Gabriella Kazai,84
Burcin Bostan-Korpeoglu,0
Ani Nenkova,44
Benjamin B. Kimia,62
Boris Pittel,53
José J. Ramasco,3
Yuval Ishai,134
Patricia M. Grambsch,0
Stefan Soutschek,0
Hajime Mushiake,0
Wojciech Galuba,10
Efstratios Gallopoulos,56
Szymon Jaroszewicz,29
D. Marc Kilgour,48
Alessandro Daducci,0
Jason D. Papastavrou,0
Adi L. Tarca,0
Marco Attene,37
Vivek Srikumar,15
Amit Aides,0
Fabio Crosilla,0
Kfir Gedalyahu,0
Hetunandan Kamisetty,5
Claudio Bettini,98
Nathanael Hyafil,7
Andrea Capocci,4
Erik Štrumbelj,15
Bruno Apolloni,0
Constantinos Lalos,8
Stefan Heldmann,0
Mats Viberg,0
Klaus J. Hopt,0
Christoph Aistleitner,0
Wolf Vanpaemel,0
Yoshihisa Ninokura,0
Matthias Moosmann,0
Kazimierz O. Wrzeszczynski,0
Alain Barrat,15
Kristoffer Öfjäll,0
Elad Moisseiev,0
Stéphane Gaïffas,10
Susana Vinga,17
Yaakov Bar-Shalom,0
Giovanni Luca Ciampaglia,8
Lance J. Rips,0
Rodrigo A. Botafogo,8
Daniel Berrar,17
Cláudia S. Rola,0
András Kornai,21
Loukas Grafakos,0
Pietro Muliere,0
Ulas Bagci,0
Sifis Micheloyannis,0
Mohammad Ali Maddah-Ali,31
Thierry Lecroq,[]
Wolfgang Hackbusch,0
Amos Lapidoth,0
Peter Nillius,0
Sanja Štajner,6
Rachel Ben-Eliyahu-Zohary,22
Philip V. Ogren,8
J. Vernon Henderson,0
Christopher Knievel,0
Veysel Gazi,0
Anneleen Vergult,0
Bjørn Skovlund Dissing,0
Karl F. MacDorman,19
Ruhi Sarikaya,23
Olivier Fourdrinoy,0
Raul Mur-Artal,0
Kresimir Matkovic,0
Robert Laubacher,6
Arnaud Sahuguet,19
Yoram Gdalyahu,0
Salvatore Tabbone,62
Sylvain Gelly,12
Stephen Ranshous,0
Nicholas R. Howe,21
Yann Barbotin,0
Erlend Hodneland,0
Jürg Schelldorfer,0
Hassan Sayyadi,9
Alex Krizhevsky,4
Choukri Mekkaoui,0
Mohamed Bouguessa,20
Florentina Paraschiv,0
Mourad Bessaou,0
Mathieu d'Aquin,79
Amalia Cifor,0
Alexander Lorbert,0
Marek Grzes,23
Frederik Transier,4
Sabri Boughorbel,9
Pedro Gil-Jiménez,0
Teresa Farroni,0
Mohammed Goryawala,0
Sepandar D. Kamvar,17
Federico Sangati,6
Cesare Furlanello,23
Thomas C. Rindflesch,39
Mohammad Shahidehpour,0
Ehsan Aganj,0
Silvia Angilella,0
Katja Astikainen,0
Peter Ursic,0
Christos Gkantsidis,35
Azadeh Kushki,0
Hiroto Saigo,11
Panagiotis C. Petrantonakis,0
A. M. Vershik,0
Jeffrey Scott Vitter,269
Koen Simoens,10
Khalid Elgazzar,16
Ugo Pastorino,0
Svatopluk Poljak,0
Elham Semsar-Kazerooni,0
Lee A. Feldkamp,0
Sharon Greenblum,0
Ramazan Gençay,0
Chandra Chekuri,130
Alan Herschtal,2
Judit Bar-Ilan,57
Rachel L. Richesson,0
Asha Vellaikal,7
Alain Billionnet,27
Rohit Pandharkar,0
Marta Sales-Pardo,0
Vladimir V. V'yugin,22
Hala Bezine,0
Mikael Sunnåker,0
Julie Grèzes,0
Yevgeny Seldin,17
Antonio R. Damasio,0
Nicole Novielli,38
Jörg Cassens,14
Alejandro Torreño,8
Manuel A. Pérez-Quiñones,119
Roland Kwitt,21
Jens Graupmann,5
Liliane Ramus,0
Patrick Labatut,0
Ben Upcroft,0
Helge Seetzen,12
Vito Trianni,23
Naama Barnea-Goraly,0
Ryan Kiros,11
Heiko Paulheim,75
Toshihiro Kamishima,24
Ulrich Klank,0
Tibor Csendes,28
David L. Gilden,0
Albena Tchamova,0
Alexandros Labrinidis,78
John C. Sherblom,0
Frédéric Pennerath,7
Naif Alajlan,0
Nils Dahlbäck,17
Julia L. Higle,0
Michael P. Vitus,0
Hauke Strasdat,0
Abdulrahman Almuhareb,3
Bernard Mettler,0
Venkatesh Saligrama,58
Samantha Riccadonna,0
Michael D. Garris,0
David Burshtein,0
Georgios I. Goumas,41
David E. Rumelhart,45
Laura Elena Raileanu,0
Titus O. Awokuse,0
Delaney Granizo-Mackenzie,0
Mehrdad Farajtabar,22
Victor M. Panaretos,0
Mario Roederer,0
Elisa Drelie Gelasca,0
Esmat Rashedi,0
Itai Himelboim,0
Rebecca Smith-Bindman,0
Arnout C.C. Ruifrok,0
John G. Proakis,30
Jan Prokaj,6
Alexandre Vidmer,0
Wietske van der Zwaag,0
Merlise A. Clyde,2
Lykomidis Mastroleon,0
Marjan Ghazvininejad,4
Kyle Mahowald,0
Werner Trobin,0
Aleks Jakulin,6
Julian Fierrez,68
Hal Daumé,87
Jérôme Callut,0
Oleg Kuybeda,0
Olivier Cappé,22
Dante Mantini,0
Ursula Nestle,0
Jon Atle Gulla,59
Robert Brummayer,9
Vlad Tanasescu,15
Jonathan A. Kelner,26
David Luebke,96
Peter Alriksson,0
Fosca Giannotti,116
Oben M. Tataw,4
Valentin Nedelcu,0
Rudolf Lioutikov,9
Lester Ingber,0
H. Jaap van den Herik,15
Kave Eshghi,12
Suchi Saria,12
Kosta Ristovski,6
Abdel Wahab Zramdini,0
H. Hennansky,0
Christos Christodoulopoulos,6
Mert R. Sabuncu,0
Alex Lenkoski,0
Matjaz Kukar,0
Dinu Coltuc,13
Jarmo Huuskonen,0
Gernot Akemann,0
Fintan Costello,16
Gheorghe Comanici,9
Mathias Niepert,47
Andrey Balmin,34
Joxan Jaffar,69
Malcolm Slaney,46
Farhang Sahba,0
Greg Restall,0
Pawel Matykiewicz,8
Elena Nabieva,0
Shafiq R. Joty,34
Jean-François Aujol,0
Fedor Zhdanov,11
Tara N. Sainath,12
Srikanth Cherla,2
Veronica Maidel,2
Sudarshan Guruacharya,0
Cédric Vonesch,0
Michael Kommenda,30
Taner Bilgiç,0
Angelo Ranaldo,0
Valentina Sintsova,2
Heba Abdelnasser,4
Ben Liblit,52
Horst Samulowitz,38
Kevin S. Killourhy,10
Rafael Uetz,1
Alexander Scivos,0
Alex Aussem,0
Donald M. Topkis,0
Swapna Somasundaran,13
Ilia Nouretdinov,0
Chi-Ren Shyu,24
Stavros S. Cosmadakis,[]
Hartmut Obendorf,13
Guy G. Helmer,0
Yiftach Eisenberg,0
Andrew P. Yonelinas,0
Emmanuel Keuleers,0
Spyros Matsoukas,18
Elias Raftopoulos,4
Itzhak Gilboa,24
Leslie C. Twilley,0
Søren Fiig Jarner,0
Andreas Klöckner,11
Sam Ransbotham,0
Ignat Domanov,0
Tom Crecelius,5
Oana G. Cula,0
Burkhard C. Schipper,5
Vladimir B. Teif,0
Sophia Katrenko,12
David Steurer,44
Klaus Kollreider,0
Sarah Alice Gaggl,0
Maria-Iuliana Bocicor,0
Alain Ratle,0
Peter Bodik,29
Roberto Segala,57
Carla S. Möller-Levet,0
Georgia Perakis,33
Andrew P. Witkin,41
C. Seshadhri,65
Angelo Oddi,0
Vignesh Jagadeesh,11
Pritam Gundecha,9
Tamer Rabie,13
Szabolcs Kéri,0
Philippe Jégou,0
Toni Rietveld,0
Edo Liberty,26
Konstantinos Makantasis,7
Artem Rozantsev,0
Douglas H. Wedell,0
Efstathios Hadjidemetriou,0
Chesner Désir,0
Nikolay Savinov,0
Christian Liebchen,0
Claudia E. Rodriguez-Carranza,0
Kai Labusch,0
Gianfranco Doretto,13
Erik C. D. van der Werf,0
Hartmut Surmann,0
Timur R. Almaev,5
Penelope Sibun,9
Ohil K. Manyam,0
Mohamed Dahmane,0
Nina Tahmasebi,10
Boris Mailhé,0
Franck Mamalet,0
Paul Scovanner,1
Paolo Ciaccia,72
Martin Tchernookov,0
Nikolaos Mitianoudis,0
Srikanta J. Bedathur,58
Luis Muñoz-González,9
Miyuki Koshimura,24
Karthik Sindhya,10
Maxim A. Babenko,23
Janne V. Kujala,0
Nicolas Usunier,45
Dirk Thierens,74
Nalini K. Ratha,58
Prashanth Mannem,9
Robert H. Shumway,0
Yedid Hoshen,0
Roy W. Tromble,5
David H. Brainard,5
Mor Naaman,85
John Dickhaut,0
Ceyhun Burak Akgül,12
Daniel Erro,11
Dieter Devlaminck,0
Ross Ihaka,1
Radu Stefan Niculescu,10
Ka Cheung Sia,6
Jonathan Tapson,10
Raymond C. Kurzweil,0
Chris Lattner,12
Samuel Kaski,143
David F. Dinges,0
Jérôme Berclaz,0
Daniel Preoţiuc-Pietro,10
Codruta Orniana Ancuti,10
Ruth Rosenholtz,17
Anastasios Zouzias,12
J. Assfalg,24
Jonathan M. Borwein,89
Jason Zutty,6
Dániel Kondor,1
Michael Gribskov,9
Leah S. Larkey,10
Oren Boiman,0
Pietro Ducange,0
Piotr Borzymek,0
Jason A. Fuemmeler,5
Martin Kaltenbrunner,19
Mortaza Doulaty,3
Shahriyar Matloub,0
Corrado Loglisci,30
Yves Deville,68
Anastasia Moumtzidou,16
J. Scott Penberthy,0
Benjamin Zapilko,15
Milos Krstajic,0
Othalia Larue,8
Karim S. Kassam,0
AbdelRahim A. Elmadany,2
Jerome R. Busemeyer,20
Can Ceritoglu,0
Yanir Seroussi,7
Duy Nguyen-Tuong,11
Kirill Dyagilev,5
Maryam Ziaeefard,0
Jalal Mahmud,55
Nikola Banovic,26
Elena Stringa,0
Amalia F. Foka,2
David Bonnafous,0
Élodie Choquet,0
Tim Baarslag,31
Ulrik Brandes,90
Marco Callieri,31
Stefan Kombrink,0
Michael Bauland,10
Hermann Minkowski,0
Ioannis Korkontzelos,17
Gerhard Wäscher,0
Ana Alvarez-Requejo,0
Rehan Akbani,8
Rok Gajšek,0
Aaron Jaech,2
Hazem Elmeleegy,20
Edward J. Bedrick,0
Arlind Kopliku,7
Maria Fernanda Caropreso,6
Stefan Schwendimann,0
Eric Jacquet-Lagrèze,0
Bruno Courcelle,83
Robert Dürichen,5
Arno J. Knobbe,37
Julio Fernandez-Mendoza,0
Wojciech Matusik,177
Peter Carbonetto,6
Carlos López-Martínez,0
Amir Aavani,0
Luca Pulina,37
Nizar Zaghden,2
Karthik Lakshmanan,26
Dirk Loeckx,0
Paul C. Leopardi,0
Petra Geutner,0
Frédéric Abrard,0
Sabri Boutemedjet,0
Ozgur Kisi,0
Sergio Barbarossa,0
Laura Dabbish,85
Alan D. Sokal,0
Leandro L. Minku,51
Rémi Barland,0
Sally Bamford,0
Saher Esmeir,13
Martin A. Giese,56
Olivier Lhomme,0
Igor V. Cadez,11
Lars Bo Jeppesen,0
E.A.B. Over,0
Johannes Bjerva,1
Yuji Iwahori,59
Ulrich Weidenbacher,4
Herbert Ramoser,0
Jesia Zakraoui,0
Matthew T. Weirauch,0
Sugama Chicklore,0
Jeffrey K. MacKie-Mason,24
Virginia Ruiz-Albacete,0
George M. Whitesides,0
Braxton Osting,6
Axel T. Brunger,0
Daniel M. Greenberger,0
Rodrigo de Oliveira Plotze,0
Ljiljana Platisa,0
Klaus Pfurtscheller,0
Zoltán Kövecses,0
Stamatia Giannarou,0
Elaine Walster,0
Deanna Needell,4
Peter M. Bentler,0
Varun Jampani,3
John T. Schousboe,0
Ioannis S. Gousias,0
Felix Salfner,22
Radomír Měch,36
Bart P. Knijnenburg,59
A. E. Eiben,118
Lenhart K. Schubert,77
Amel Ksibi,0
Eric Sven Ristad,22
Nabil Ouerhani,12
William A. Freije,0
Volker B. Deecke,0
Paul Valiant,24
Thomas Schandl,0
Vinay K. Chippa,7
Nicolas Sidère,8
Nodira Khoussainova,14
Jaysonne A. Pacurib,0
Sharmin Nilufar,8
Iman Kamehkhosh,7
Gérard G. Emch,0
Ákos Utasi,8
Omar Al-Kofahi,0
Enea Cippitelli,2
Robert R. Sokal,0
Yehoshua Perl,83
Manfred Hendlich,0
Octavian Catrina,9
Ertugrul M. Ozbudak,0
Robert Schöpflin,0
Christopher R. Fetsch,0
I. I. Baskin,7
A.G. Ulsoy,0
Andrea Romei,0
Liana M. Lorigo,0
Alireza Rezvanian,0
Dean Wyatte,0
Heydar Maboudi Afkham,0
Oliver Demetz,0
Sara Johansson Fernstad,0
Zeljko Agic,0
Ioannis Karydis,18
Nicholas Diakopoulos,45
Sintija Petrovica,5
Roman Kontchakov,46
Arkadiusz Stopczynski,6
Lex Schaul,0
Samu Taulu,0
Yuichi Asahiro,34
Zachary C. Lipton,16
Virginia Klema,4
Ruth Ben-Yashar,0
Abdessamad Echihabi,5
Brian E. Brewington,6
Cristian Cadar,55
Jürgen Schlegelmilch,3
Evgeny Lomonosov,0
Sergey M. Plis,0
Pascal Paysan,0
Rasmus Bro,0
Harald Hammarström,8
Emanuel A. Schegloff,1
Deborah K. Barreau,0
Thomas Neumuth,11
Paul M. Bays,0
Giorgio Fumera,53
Andrea Pietracaprina,59
Jane Hillston,116
Paul F. Velleman,0
B. Hastie,0
Sarah T. Boysen,0
Carl G. Looney,0
Rasmus Kyng,9
Ljupčo Todorovski,24
Eduardo Jaques Spinosa,0
Negar Soheili,0
Giuseppe Ateniese,61
Maria Giatsoglou,6
Paolo Cremonesi,100
Bernd Bohnet,24
Vlasios Doumpiotis,0
Azam Amin Abshouri,0
Markus Stolze,34
Leszek Pacholski,21
Elia Formisano,0
Stefan Eickeler,7
Zenzi M. Griffin,0
Alexander G. Schwing,43
Walter Rudin,0
Robert Urbanczik,0
Marius Leordeanu,21
Tapas Kanungo,25
Maarten A. Hogervorst,5
Emmanuel Caruyer,0
Daan T. J. Vreeswijk,2
Bijan Moayer,0
Chris Peikert,56
Edward Grefenstette,11
Marie-Laure Mugnier,52
Charles W. Dunnett,0
Reyer Zwiggelaar,56
Knut Conradsen,8
Nicolas Frémaux,0
Fabrice Bourel,0
Ramy Medhat,8
Behnood Rasti,0
Christine Choppy,54
Tom Fincham Haines,0
Abdallah Abbey Sebyala,0
Alexis Benichoux,0
Pauliina Kronqvist,0
Jim Braux-Zin,0
Nicolas Delannay,6
Zara Ambadar,6
Jack Koplowitz,0
Vasiliki E. Kosmidou,0
Vedran Sekara,0
Sean Stanek,0
Nihal Dindar,7
Marenglen Biba,0
Hoel Le Capitaine,0
Daniel J. Mankowitz,0
Heinrich Stamerjohanns,0
Junaed Sattar,11
Jane Elith,0
Giuseppe Jurman,11
Nicolas Eveno,0
Indre V. Viskontas,0
Farrokh Vatan,19
David K. Elson,11
Martin M. Hanczyc,9
Oscar Miranda-Dominguez,0
Alexandros G. Dimakis,64
Qusay H. Mahmoud,75
Tal Arbel,0
Luke Bornn,5
Anant Madabhushi,47
Aditi Dhagat,6
David Nassimi,17
Dmitry Gavinsky,20
Alexandra Balahur,33
Raquel Mochales,3
Fatih Calakli,2
Babak Alipanahi,5
Ralf Plänkers,0
Octavia A. Dobre,0
Evgeni Begelfor,0
Victor Adrian Prisacariu,0
Levent Karacan,4
Ying-Huey Fua,4
Tim Roughgarden,148
Dominic Widdows,30
Masayuki Karasuyama,19
Michael S. Gazzaniga,0
Zoltán Tüske,0
Francesc Serratosa,0
Hacheme Ayasso,0
Christopher K. Wikle,0
Fatemeh Abbasinejad,6
Jared Lorince,2
Dzenan Zukic,0
Fredrik Viksten,0
Anastasia Yendiki,0
Harish Doraiswamy,20
Guillem Rigaill,0
Christos A. Frantzidis,8
Jonathan H. Fernyhough,0
